DISTRITO,APARTADO,NUMERO DE ARCHIVO,SITUACION,DENOMINACION,SUPERFICIE,LAT,LNG,
CENTRO,PARQUES Y JARDINES,300.000,CALLE BAILEN NUM 15,JARDINES DE LARRA,5025.42,40.4278126,-3.7002313,
CENTRO,PARQUES Y JARDINES,300.001,CALLE BAILEN NUM 6,JARDINES DE SABATINI.,26814.00,40.4202739,-3.7139672,
CENTRO,PARQUES Y JARDINES,300.005,CALLE SEGOVIA NUM 21,JARDIN DE LAS VISTILLAS.,5462.95,40.4125939,-3.7154288,
CENTRO,PARQUES Y JARDINES,300.007,CALLE SEGOVIA 28,PARQUE DE ATENAS,106811.18,40.4145125,-3.7187666,
CENTRO,PARQUES Y JARDINES,300.008,CALLE SEGOVIA NUM 31,JARDINES DE LAS VISTILLAS.,1999.63,40.4125939,-3.7154288,
CENTRO,PARQUES Y JARDINES,300.021,CALLE BARCELO,JARDINES DEL ARQUITECTO RIBERA,13461.43,40.4265357,-3.7000426,
CENTRO,PARQUES Y JARDINES,300.023,RONDA SEGOVIA NUM 57,CUESTA DE LAS DESCARGAS,2120.00,40.4089047,-3.7158344,
CENTRO,PARQUES Y JARDINES,300.030,CALLE DEL ROSARIO Y DEL JERTE,PARQUE DE LA CORNISA,14193.99,40.4097388,-3.7155254,
CENTRO,PARQUES Y JARDINES,301.048,AVENIDA GRAN VIA DE SAN FRANCISCO,PARQUE DE LA DALIEDA DE SAN FRANCISCO,3385.55,40.4099812,-3.7143446,
ARGANZUELA,PARQUES Y JARDINES,300.032,PASEO YESERIA,DEHESA DE LA ARGANZUELA,108873.35,40.3899032,-3.6906662,
ARGANZUELA,PARQUES Y JARDINES,300.033,PASEO YESERIAS NUM 4,INTEGRADO EN EL PARQUE DE LA ARGANZUELA.,853.10,,,
ARGANZUELA,PARQUES Y JARDINES,300.063,CALLE ORIANA NUM 10,PARQUE ORIANA.,4139.65,,,
ARGANZUELA,PARQUES Y JARDINES,300.038,CALLE TOLEDO NUM 174Pº IMPERIAL Nº 89.,JARDINES DE DÑA. CONCHA PIQUER,3033.00,,,
RETIRO,PARQUES Y JARDINES,300.087,PLAZA INDEPENDENCIA NUM 7C/ALCALA, C/O´DONNELL, AVDA MENENDEZ PELAYO Y C/ALFONSO XII,JARDINES DEL BUEN RETIRO,1181753.00,,,
RETIRO,PARQUES Y JARDINES,300.089,AVENIDA PAZPOLIGONO 40. C/ O´DONNELL, C/ PEZ VOLADOR Y OTRAS.,PARQUE ROMA,183270.00,,,
RETIRO,PARQUES Y JARDINES,300.093,CALLE COCHERAS NUM 1,PARQUE DE LAS COCHERAS.,8229.00,,,
SALAMANCA,PARQUES Y JARDINES,300.109,PLAZA COLONJARDINES DEL DESCUBRIMIENTO.,JARDINES DEL DESCUBRIMIENTO.,19928.66,,,
SALAMANCA,PARQUES Y JARDINES,300.110,AVENIDA BRASILIAPARQUE BREOGAN,PARQUE BREOGAN,19750.50,,,
SALAMANCA,PARQUES Y JARDINES,300.111,AVENIDA BRASILIAPARQUE DE LAS AVENIDAS,PARQUE DE LAS AVENIDAS.,73900.00,,,
SALAMANCA,PARQUES Y JARDINES,300.112,CALLE AMBROSCAMINO DE LA FUENTE DEL BERRO Y ALTO DE VICALVARO,QUINTA DE LA FUENTE DEL BERRO,76063.21,,,
SALAMANCA,PARQUES Y JARDINES,300.113,PLAZA MANUEL BECERRAC/V A C/ DOCTOR GOMEZ ULLA Y C/ FRANCISCO SILVELA,JARDINES EVA DUARTE DE PERON.,37129.63,,,
SALAMANCA,PARQUES Y JARDINES,300.114,CALLE SANCHO DAVILA ZONA POSTERIOR,PARQUE DE SANCHO DAVILA,53529.13,,,
SALAMANCA,PARQUES Y JARDINES,300.115,CALLE JUAN BRAVOC/V A C/ PRINCIPE DE VERGARA Y C/ MALDONADO,JARDINES DE GREGORIO ORDOÑEZ,4509.40.,,
SALAMANCA,PARQUES Y JARDINES,301.051,CALLE SANCHO DAVILA,JARDIN DE SANCHO DAVILA,53029.13,,,
CHAMARTIN,PARQUES Y JARDINES,300.154,CALLE PUERTO RICO,PARQUE DE SANTA MARCA.,8380.27,,,
CHAMARTIN,PARQUES Y JARDINES,300.155,CALLE DOCTOR FLEMINGAVENIDA ALBERTO ALCOCER C/ JUAN RAMON JIMENEZ,JARDINES DE SAN FERNANDO.,11464.77,,,
CHAMARTIN,PARQUES Y JARDINES,300.159,AVENIDA RAMON Y CAJALC/ MARCENADO, C/ SAN ERNESTO Y C/ DR. MARCO COREA.,PARQUE DE BERLIN.,59490.47,,,
CHAMARTIN,PARQUES Y JARDINES,300.167,CALLE CORAZON DE MARIA NUM 18,JARDIN FCO. JAVIER SAENZ DE OIZA.,4624.00,,,
CHAMARTIN,PARQUES Y JARDINES,300.164,CALLE PRINCIPE DE VERGARA NUM 141,JARDINES DE PABLO SOLOZABAL.,5556.00,,,
CHAMARTIN,PARQUES Y JARDINES,300.168,CALLE COLOMBIA NUM 52C/ COLOMBIA Y JOSE Mª SOLER.,JARDINES DE JUANITA REINA,616.00,,,
CHAMARTIN,PARQUES Y JARDINES,300.169,CALLE VINAROZ NUM 29,PARQUE DE LA INFANCIA DE CHAMARTIN,1959.50,,,
TETUAN,PARQUES Y JARDINES,300.178,AVENIDA GENERAL PERONC/V GENERAL VARELA Y AVENIDA PRESIDENTE CARMONA,JARDINES DE PERON,26100.00,,,
TETUAN,PARQUES Y JARDINES,300.179,CALLE SINESIO DELGADO,PARQUE DE LA VENTILLA,142821.85,,,
TETUAN,PARQUES Y JARDINES,300.180,CALLE CAPITAN BLANCO ARGIBAY NUM 210,PARQUE AGUSTIN RODRIGUEZ SAHAGUN,44682.80,,,
CHAMBERI,PARQUES Y JARDINES,300.194,CALLE EUSTAQUIO RODRIGUEZ NUM 10,JARDINES TENIENTE ALCALDE PEREZ PILLADO,372.18,,,
FUENCARRAL-EL PARDO,PARQUES Y JARDINES,300.195,AL SITIO DEL LLANO DE SAN SEBASTIAN.,PARQUE MUNICIPAL DE FUENCARRAL,23000.00,,,
FUENCARRAL-EL PARDO,PARQUES Y JARDINES,300.196,AVENIDA GUARDIA,PARQUE DEL PUEBLO DEL PARDO,36000.00,,,
FUENCARRAL-EL PARDO,PARQUES Y JARDINES,300.197,AVENIDA FERROL,PARQUE DE LA ALCAZABA,140280.25,,,
